Precip	Max Temp	Min Temp	Wind Speed
0.0	13.84	1.18	3.6
4.075	10.56	2.48	3.39
2.675	6.06	-3.01	3.5
0.0	7.4	-6.83	3.32
0.0	7.4	-3.55	3.4
0.175	5.67		3.43
0.0	6.66	-7.97	3.16
0.0	9.0	-7.71	3.27
0.0	6.54	-5.2	3.68
0.0	7.73	-3.76	3.78
0.0	9.0	-3.57	3.78
0.0	14.47	-6.18	
0.8	22.83	1.62	3.59
0.0	24.28	3.81	3.79
0.275	20.14	2.63	3.1
0.0	25.13	5.52	3.39
0.525	23.71	10.56	3.43
10.4	18.52	11.14	2.91
9.525	12.9	6.41	3.25
1.9	8.65	4.06	3.75
0.9	13.54	-3.9	3.41
0.0	16.16	-0.56	3.14
0.0	16.68	-0.15	3.21
0.25	20.81	3.26	3.39
0.0	20.39	1.14	3.25
0.0	24.58	2.66	3.0
0.0	27.87	9.07	3.07
0.0	29.02	9.72	3.09
0.225	21.4	12.17	3.02
11.7	22.67	11.95	3.11
8.625	28.68	14.11	2.79
0.0	30.05	15.85	3.32
0.0	30.46	14.13	3.2
0.0	31.19	13.24	2.78
0.0	29.27	16.85	3.0
0.3	29.83	12.61	3.2
0.0	24.6	10.85	2.93
0.0	22.45	3.41	2.84
0.0	19.68	2.38	3.0
6.4	19.13	3.68	2.84
2.275	26.86	9.05	2.52
0.35	19.12	6.6	2.47
0.5	17.51	3.41	2.71
0.425	18.45	6.46	2.82
	16.57	7.06	2.73
0.125	18.31	8.23	2.9
0.475	15.3	7.21	3.04
0.0	22.0	1.11	2.9
0.0	23.93	4.9	2.88
0.0	28.93	6.05	2.73
0.0	28.43	9.38	2.52
0.0	25.61	11.12	2.56
0.0	28.25	11.29	2.32
6.225	26.39	13.34	2.46
0.025	16.82	4.48	2.43
0.325	12.92	4.93	2.57
0.5	13.95	3.98	
4.4	22.98	6.54	2.25
4.625	24.76	12.2	2.18
0.0	22.5	9.39	2.5
0.0	22.59	6.18	2.49
2.35	24.01	12.09	2.3
2.975	24.01	10.64	2.43
12.225	18.06	13.18	2.45
5.1	16.28	5.55	2.36
12.4	17.83	8.26	2.24
16.65	16.71	10.86	2.27
5.05	17.72	8.75	2.35
	21.08	10.1	2.51
0.0	24.02	10.59	2.48
2.2	23.29	12.93	2.38
0.2	24.84	8.26	2.24
0.0	25.52	10.86	2.15
0.0	29.65	14.14	2.13
0.6	30.4	16.2	2.21
0.4	28.37	15.3	2.14
0.0	21.45	6.98	2.28
0.0	21.75	6.77	2.48
0.0	24.5	4.24	2.24
1.1	28.77	12.14	2.13
0.0	31.13	13.39	2.21
8.025	30.14	17.49	2.23
4.025	26.35	11.0	2.17
4.25	24.58	11.32	2.22
0.0	26.72	12.7	2.14
0.0	27.58	12.67	2.0
12.475	27.86	15.91	1.95
0.0	23.87	14.66	1.95
3.325	24.83	15.34	1.88
0.5	28.94	15.39	2.05
0.0	26.85	12.12	2.01
0.0	25.02	9.45	1.87
0.0	26.87	9.34	2.08
0.0	28.72	11.57	1.88
0.0	30.69	12.91	1.94
0.45	30.48	15.27	2.13
0.0	30.71	15.06	1.97
3.8	30.11	17.9	1.96
6.875	30.86	15.62	2.01
6.225	26.08	13.56	1.87
6.175	29.65	13.2	1.96
4.4	26.6	16.27	2.04
4.825	25.98	13.1	2.15
5.775	23.67	9.62	2.01
0.0	27.63	11.12	1.76
18.45	25.75	15.92	1.98
	24.81	15.36	1.95
0.0	29.1	11.73	2.07
2.325	29.04	14.98	1.85
	31.02	16.66	1.96
0.0	30.23	17.29	1.9
0.0	33.61	17.07	1.92
0.0	33.39	18.49	2.03
24.05	33.09	20.0	1.87
0.0	33.25	21.3	1.73
1.025	32.76	19.74	1.62
4.925	32.73	18.56	1.79
1.275	28.01	17.58	1.87
1.3	27.35	16.34	1.89
0.0	27.08	10.59	1.76
0.0	28.05	10.59	1.76
0.0	29.45	10.82	1.76
0.0	27.27	13.89	1.75
9.8	28.96	15.64	1.59
5.975	27.49	15.1	1.61
0.075	28.16	15.85	1.72
0.625	27.38	18.27	1.77
13.55	30.05	19.92	1.96
6.725	31.15	19.54	1.67
5.825	31.98	20.44	1.79
0.85	32.24	20.15	1.5
11.875	32.14	21.32	1.62
14.775	29.18	20.42	1.74
0.5	21.05	15.08	1.84
0.975	19.7	13.95	1.76
0.325	27.26	12.81	1.85
0.0	30.94	14.84	1.77
0.8	30.59	16.78	1.79
0.025	30.85	16.57	1.84
0.0	27.98	15.95	1.8
23.7		17.2	1.77
6.6	21.43	17.12	1.71
1.75	29.28	16.01	1.64
1.95	27.42	17.65	1.57
0.75	30.83	15.09	1.66
0.125	32.47	16.69	1.72
3.55	25.35	19.39	1.87
0.0	25.0	12.17	1.77
0.0	25.04	9.7	1.74
9.525	21.36	13.65	2.01
	20.42	15.73	1.9
4.5	28.44	11.54	1.78
0.0	29.51	13.99	1.92
0.0	27.63	17.44	1.83
0.0	22.88	11.92	1.7
0.0	23.71	11.04	1.69
0.0	23.05	12.43	1.75
0.0	25.92	9.1	1.75
0.95	23.07	11.35	1.65
0.475	20.4	8.95	1.87
0.0	23.44	5.03	1.98
0.0	18.23	0.76	1.87
0.0	19.7	3.5	1.77
0.0	27.66	11.74	1.96
0.0	28.14	14.61	1.86
14.075	24.22	16.1	1.87
0.3	24.9	14.82	1.86
2.025	28.14	12.35	1.83
0.325	32.51	17.46	1.86
0.0	29.07	15.17	1.86
0.0	30.95	15.97	1.94
6.425	30.78	14.88	2.1
0.0	33.22	19.43	2.21
0.0	32.51	19.94	2.13
1.925	33.55	20.72	1.99
0.025	31.63	20.24	2.03
11.975	31.32	17.28	1.9
4.875	26.39	18.28	2.11
12.75	25.3	17.12	2.13
	28.86	14.33	2.18
0.125	25.83	13.99	2.11
1.1	18.88	5.07	2.26
0.0	22.1	2.86	2.45
0.0	23.02	6.54	2.36
0.0	24.31	9.12	2.31
0.0	27.32	11.77	2.16
0.275	27.67	12.42	2.28
	17.0	6.91	2.27
0.425	20.08	6.95	2.25
0.0	18.74	3.68	2.22
0.0	18.36	3.75	2.32
2.675	18.58	7.98	2.39
3.25	22.77	4.27	2.46
0.0	26.8	7.9	2.5
0.45	22.16	10.25	2.47
0.075	13.27	2.71	2.48
0.0	16.53	-1.32	2.64
0.0	2.44	1.2830000000000001	2.7
0.0	8.27	-1.68	2.75
0.0	11.26	-3.08	2.51
0.0	16.82	-2.82	2.38
0.0	21.63	5.27	2.7
0.0	22.71	7.33	2.45
7.425	20.97	10.64	2.34
1.95	18.11	9.78	2.64
0.025	15.82	6.9	2.74
0.0	22.17	11.12	2.84
0.0	24.25	10.89	2.58
8.825	21.0	11.1	2.73
0.0	21.21	9.07	2.57
0.0	25.57	7.04	2.7
0.0	20.39	2.91	2.68
0.0	21.61	0.54	2.73
0.0	23.84	1.62	3.05
0.0	21.34	3.32	3.0
0.0	20.75	5.15	2.86
0.0	19.47	3.39	2.57
0.0	20.61	-0.78	2.65
0.0	24.2	5.42	2.92
0.0	19.59	1.06	2.74
0.0	20.49	-0.9	2.81
0.0	24.12	3.12	3.11
0.0	22.98	5.45	3.09
0.0	16.2	3.98	3.26
0.0	14.35	-3.42	3.11
0.35		3.61	3.22
0.0	15.53	0.52	3.35
0.0	23.15	2.89	3.11
0.0	25.94	8.74	2.78
0.05	23.17	10.46	3.08
0.0	14.19	-0.86	3.42
0.0	18.06	0.23	3.73
7.55	18.62	7.06	3.08
15.725	14.6	-0.87	3.2
0.0	14.34	-3.93	3.34
0.0	11.08	-2.74	3.34
0.3	5.46	-7.4	3.76
0.45	10.13	-5.67	3.74
0.0	12.39	-6.45	3.31
9.375	8.21	-0.85	3.22
15.95	4.89	-0.43	3.38
2.65	8.93	-1.99	3.93
0.0	4.72	-3.17	3.6
0.0	1.92	-8.96	3.23
0.2	4.8	-4.03	3.48
0.0	13.16	-4.35	2.99
0.0	19.06	2.2	3.47
0.0	16.42	9.18	4.01
3.475	10.27	1.15	4.05
0.375	7.2	0.03	3.97
3.625	1.66	-6.7	3.73
0.0	2.14	-9.85	3.67
0.175	5.98	-5.47	3.7
0.075	2.88	-7.25	3.73
0.0	6.06	-5.95	3.85
0.0	3.76	-7.07	3.8
0.0	5.13	-4.98	3.78
0.0	2.94	-8.66	4.05
0.0	5.09	-7.84	3.68
0.0	5.93	-1.75	3.41
0.0	2.88	-1.04	3.35
0.0	2.93	-5.02	3.39
5.1	0.63	-5.04	3.7
5.075	1.17	-2.83	3.49
1.225	1.08	-4.39	3.5
0.0	-2.61	-12.34	3.59
0.0	-2.14	-11.14	3.92
7.475	1.7	-7.09	3.7
4.85	3.17	-2.73	3.48
0.0	-0.87	-7.34	3.54
0.0	-2.95	-8.75	3.72
0.0	2.58	-9.58	3.68
0.0	6.18	-8.36	3.82
0.0	7.66	-4.79	3.9
0.125			4.26
2.35	-2.7	-6.19	3.96
19.75	-3.31	-7.12	3.55
0.0	-1.51	-9.83	3.5
2.55	-3.96	-10.2	3.55
10.375	-4.8	-13.47	3.29
1.275	-3.86	-13.82	3.5
0.0	-2.86	-6.96	3.44
0.0	0.32	-5.38	3.48
16.05	12.35	-0.92	3.48
7.225	3.38	-6.37	3.73
0.0	0.78	-9.96	4.25
0.1	9.87	-6.12	3.91
3.05	13.5	-2.81	3.31
1.65	-4.26	-14.98	3.7
0.0	0.29	-12.72	4.11
0.0	4.69	-10.87	3.96
0.0	5.43	-8.24	3.99
1.825	7.72	-2.99	4.28
1.975	3.31	-4.43	3.77
	6.42	-3.03	3.96
8.625	-6.24	-17.27	3.93
0.0	-7.96	-17.54	3.79
	-1.89	-16.35	3.83
0.0	-7.47	-16.8	3.78
0.0	-10.08	-16.92	3.96
0.0	-8.21	-17.07	3.95
0.225	-5.1	-17.97	3.89
7.525	7.2	-12.43	3.86
6.25	15.82	0.26	4.15
1.5	11.23	0.65	4.13
0.0	10.52	-4.09	4.25
0.0	12.01	-2.21	4.01
0.0	13.9	0.89	4.11
0.0	15.34	2.68	3.81
3.275	17.31	6.7	4.25
2.325	5.31	-5.04	3.7
5.725	7.43	-3.58	3.93
	9.6	0.0	3.63
	4.77	-3.27	3.27
0.0	-4.12	-13.49	3.98
0.0	-6.81	-13.52	3.2
0.0	-4.97	-14.07	3.77
0.0	-0.06	-13.85	4.07
0.0	0.73	-9.99	3.3
13.6	-5.14	-10.38	3.2
1.575	-7.93	-16.97	3.41
0.0	-2.91	-15.85	3.36
0.0	1.64	-9.58	3.38
0.0	0.52	-13.17	4.15
0.0	6.89	-7.3	3.86
2.825	2.39	-3.58	3.78
0.225	-5.9	-10.63	3.98
0.0	-1.83	-15.59	3.6
0.0	3.48	-11.93	4.01
0.0	8.8	-6.65	4.01
0.0	10.04	-3.4	3.45
0.075	4.67	-2.25	3.58
0.0	5.87	-9.49	3.83
0.0	5.38	-3.04	3.71
0.0	5.67	-6.01	3.84
0.0	16.34	-3.49	3.91
3.875	8.72	0.77	3.59
0.0	7.62	-3.71	3.78
0.0	2.97	-3.64	3.79
1.125	-0.14	-4.58	3.75
0.0	-1.99	-10.69	3.66
0.0	-0.51	-10.41	3.35
0.0	2.2	-8.12	3.35
2.9	1.58	-6.63	3.85
4.675	-0.13	-7.31	3.81
0.0	-1.6	-12.31	3.71
0.0	1.22	-15.86	3.95
0.0	3.58	-10.77	3.9
6.325	18.98	-3.67	3.75
0.05	14.08	-1.34	3.79
0.175	5.86	-9.19	3.72
0.0	8.1	-8.96	3.72
0.0	4.74	-7.03	3.39
0.0	6.7	-7.94	3.7
0.0	15.74	-4.32	3.55
0.0	17.63	1.38	3.53
1.725	9.42	-2.61	3.72
3.625	-0.13	-10.71	3.56
0.0	-1.78	-12.8	3.28
0.0	2.01	-8.53	3.29
0.0	9.16	-5.27	3.21
0.0	6.85	-3.7	3.53
0.0	6.4	-2.39	3.5
0.0	7.58	-5.6	3.96
2.725	9.93	-1.19	3.73
0.85	8.68	-3.26	3.27
0.0	24.42	-0.15	3.6
0.85	23.14	8.72	3.39
5.95	16.84	10.66	3.5
9.325	9.12	2.83	3.32
3.0	5.24	-0.38	3.4
0.15	14.41	1.78	3.43
0.0	19.86	0.19	3.16
0.0	18.97	2.73	3.27
4.175	13.53	2.17	3.68
0.0	12.41	1.9	3.78
0.0	15.16	-0.38	3.78
0.0	15.33	1.0	3.99
0.0	12.45	-1.64	3.59
0.0	8.5	-3.85	3.79
0.0	6.39	-4.7	3.1
0.0	4.03	-2.25	3.39
0.85	7.45	-4.07	3.43
0.0	13.48	-4.11	2.91
0.0	22.25	2.65	3.25
0.15	26.13	6.38	3.75
2.05	23.04	13.51	3.41
7.15	15.26	6.82	3.14
0.0	16.68	-0.58	3.21
5.15	19.24	3.84	3.39
0.0	17.5	5.95	3.25
0.05	17.64	2.88	3.0
0.95	25.35	7.47	3.07
1.5	24.66	10.91	3.09
1.525	13.71	7.43	3.02
1.425	6.03	-0.56	3.11
0.0	13.99	2.26	2.79
3.1	13.76	-1.45	3.32
1.275	17.07		3.2
20.525	10.52	1.5	2.78
1.95	14.31	2.04	3.0
0.0	19.26	0.45	3.2
0.0	22.08	3.16	2.93
0.0	21.93	8.22	2.84
2.4	20.13	8.21	3.0
2.55	11.65	0.33	2.84
16.775	13.2	1.81	2.52
0.0	17.64	5.34	2.47
0.65	20.9	8.16	2.71
1.625	27.44	7.8	2.82
9.325	29.01	14.06	2.73
2.65	26.1	15.03	2.9
0.0	23.53	6.53	3.04
0.0	29.57	12.52	2.9
0.0	23.86	7.68	2.88
3.375	18.54	5.87	2.73
3.2	18.11	7.24	2.52
21.025	25.04	8.86	2.56
	23.68	12.29	2.32
0.5	18.56	10.16	2.46
0.7	17.56	4.97	2.43
0.0	16.47	2.74	2.57
0.0	20.27	2.46	2.5
1.85	17.92	4.77	2.25
0.15	18.02	8.22	2.18
5.8	25.36	11.9	2.5
0.075	27.83	11.85	2.49
0.0	28.58	12.07	2.3
0.0	33.08	15.64	2.43
0.0	32.82	17.55	2.45
23.375	28.72	17.41	2.36
2.275	26.58	15.72	2.24
7.925	24.6	16.23	2.27
1.8	23.87	11.28	2.35
0.0	23.95	5.88	2.51
0.0	26.9	12.86	2.48
2.85	28.37	15.81	2.38
0.0	25.4	12.39	2.24
0.0	27.99	8.98	2.15
0.0	25.75	7.87	2.13
20.75	22.48	10.72	2.21
	18.71	10.34	2.14
3.925	17.53	10.1	2.28
6.7	18.88	10.17	2.48
5.075	22.55	9.82	2.24
0.0	24.28	7.25	2.13
0.0	27.06	9.55	2.21
0.0	28.47	8.8	2.23
8.75	27.58	14.13	2.17
12.775	26.13	12.17	2.22
3.15	23.29	11.37	2.14
0.575	24.0	10.94	2.0
7.35	23.7	9.9	1.95
5.025	23.15	11.28	1.95
4.05	22.81	9.41	1.88
12.075	23.01	11.0	2.05
2.35	23.62	10.16	2.01
1.3	28.99	13.03	1.87
0.05	31.21	17.14	2.08
0.0	27.75	10.85	1.88
7.4	30.11	12.76	1.94
15.85	27.87	14.96	2.13
0.0	28.45	12.66	1.97
0.0	31.73	13.19	1.96
2.675	32.36	14.45	2.01
0.65	24.62	11.51	1.87
1.25	26.67	12.3	1.96
0.0	24.66	12.24	2.04
0.0	30.36	13.13	2.15
0.0	31.96	13.57	2.01
0.0	31.96	13.57	1.76
0.0	33.64	12.79	1.98
0.0	34.06	14.2	1.95
0.0	30.99	16.31	2.07
0.0	31.41	14.93	1.85
0.0	34.47	16.94	1.96
7.95	33.89	20.29	1.9
10.375	34.5	19.04	1.92
23.325	33.77	18.55	2.03
3.575		19.45	1.87
0.9		19.73	1.73
0.8		19.67	1.62
0.0	34.4	20.91	1.79
0.075		21.13	1.87
0.0	34.82	20.69	1.89
7.175	32.8	19.02	1.76
0.0	34.68	14.81	1.76
0.0	34.96	18.49	1.76
0.0		18.63	1.75
0.0		17.93	1.59
0.0		18.08	1.61
0.0		20.11	1.72
0.0		21.4	1.77
0.0		22.39	1.96
0.0		22.61	1.67
1.9		23.9	1.79
5.825	21.61	12.73	1.5
0.0	24.43	9.94	1.62
0.0	26.37	11.07	1.74
11.725	25.97	12.65	1.84
0.0	25.97	14.48	1.76
0.0	26.11	14.7	1.85
0.0	25.75	15.11	1.77
10.05	23.0	13.96	1.79
8.35	22.75	9.12	1.84
9.8	24.29	12.0	1.8
22.55	22.42	11.95	1.77
0.4	22.46	10.93	1.71
0.45	19.72	10.19	1.64
0.0	20.42	3.29	1.57
0.25	19.0	6.75	1.66
0.0	22.82	10.59	1.72
0.0	24.76	9.34	1.87
0.0	26.2	12.13	1.77
0.0	27.15	14.34	1.74
0.0	27.59	13.75	2.01
0.0	27.88	13.23	1.9
0.175	22.75	13.23	1.78
0.0	28.9	13.08	1.92
0.0	32.4	13.29	1.83
0.0	32.29	15.52	1.7
0.0			1.69
2.025	27.0	13.94	1.75
0.0	27.4	9.72	1.75
0.0	29.28	8.03	1.65
0.0	32.43	10.29	1.87
0.0	32.63	12.8	1.98
0.425	27.21	15.0	1.87
0.0	28.3	15.47	1.77
0.0	29.73	7.87	1.96
0.0	32.22	11.44	1.86
5.2	33.96	16.32	1.87
17.25	33.99	17.46	1.86
0.6		18.82	1.83
3.65	26.83	14.34	1.86
0.0	27.88	10.4	1.86
0.0	27.97	10.39	1.94
0.0	32.27	15.99	2.1
0.0	32.06	16.76	2.21
0.0	26.19	13.46	2.13
0.0	25.8	13.5	1.99
0.0	20.73	4.55	2.03
0.0	21.8	-1.89	1.9
0.0	21.36	4.5	2.11
0.0	19.29	1.62	2.13
0.0	24.25	2.3	2.18
0.0	26.55	2.06	2.11
0.025	26.63	8.17	2.26
0.0	20.77	6.42	2.45
0.0	22.77	4.07	2.36
0.0	25.84	1.19	2.31
0.0			2.16
0.0	32.8	8.47	2.28
3.775	28.78	16.13	2.27
22.45	22.24	12.84	2.25
2.725	14.65	5.53	2.22
0.0	17.76	-2.7	2.32
0.0	20.83	-0.42	2.39
0.0	25.17	2.16	2.46
0.0	27.91	3.0	2.5
0.0			2.47
0.0	31.47	8.21	2.48
0.0	30.13	8.19	2.64
0.0	31.72	11.2	2.7
0.85	32.23	10.88	2.0
1.975	27.18	8.54	2.0
0.0	15.79	-2.06	2.0
0.0	18.63	-4.34	2.0
1.8	19.55	2.37	2.0
3.95	18.49	5.5	2.0
0.0			2.0
0.675	17.24	3.78	2.0
1.175	18.6	8.73	2.0
0.0	17.57	-0.02	2.0
2.15	13.74	-0.07	2.0
13.575	14.33	5.26	2.0
16.375	14.38	0.21	2.0
1.75	7.99	-2.27	2.0
0.0	15.55	-2.6	2.73
0.0	16.85	-2.01	3.05
0.925	19.59	3.14	3.0
0.45	16.83	5.55	2.86
0.0	13.11	-1.25	2.57
0.0	18.58	4.41	2.65
0.0	19.89	-0.3	2.92
0.0	22.08	3.59	2.74
0.0	21.11	3.68	2.81
0.0	16.5	7.3	3.11
0.0	17.31	-3.89	3.09
0.0	18.14	-2.71	3.26
0.4	16.51	-4.79	3.11
1.15	21.1	4.4	3.22
0.0	21.11	-0.75	3.35
0.0	22.59	5.7	3.11
0.0	23.43	10.01	2.78
0.0	23.54	11.44	3.08
19.025	19.85	5.14	3.42
0.3	15.05	2.35	3.73
0.0	13.73	-0.64	3.08
0.0	14.52	-2.01	3.2
0.65	12.4	-0.5	3.34
0.0	1.8	-10.96	3.34
0.0	-0.43	-13.74	3.76
0.0	3.84	-11.27	3.74
0.0	3.91	-6.21	3.31
0.0	5.59	-8.96	3.22
0.0	13.22	-3.21	3.38
0.0	16.68	-3.93	3.93
0.0	10.72	-2.53	3.6
6.4	9.86	-0.28	3.23
	10.93	2.65	3.48
0.0	6.73	-5.42	2.99
0.0	-0.1	-11.21	3.47
0.0	9.18	-2.9	4.01
0.0	12.64	2.22	4.05
2.8	11.82	6.12	3.97
0.475	12.31	3.94	3.73
0.0	8.92	-5.76	3.67
0.0	11.64	-2.46	3.7
0.0	12.3	-7.97	3.73
4.3	15.8	1.27	3.85
11.65	15.6	7.83	3.8
6.8	14.92	3.32	3.78
0.0	12.62	-5.15	4.05
0.0	17.54	2.76	3.68
12.225	16.86	1.4	3.41
5.075	4.98	-7.81	3.35
0.0	2.08	-11.1	3.39
1.7	2.65	-3.4	3.7
2.675	-0.26	-7.22	3.49
0.775	-5.36	-13.21	3.5
0.0	-8.38	-18.2	3.59
0.0	-9.15	-15.93	3.92
0.0	-1.15	-17.48	3.7
0.0			3.48
0.0	-5.69	-14.38	3.54
5.925	-3.54	-17.03	3.72
3.8	-2.68	-9.91	3.68
0.65	-7.01	-12.23	3.82
0.475	-6.76	-13.55	3.9
0.0	-2.36	-14.7	4.26
1.3	2.79	-9.63	3.96
0.0	1.33	-12.0	3.55
10.6	4.9	-4.23	3.5
11.85	9.92	0.21	3.55
	2.95	-11.63	3.29
0.0	-1.74	-13.17	3.5
0.0	-0.57	-13.4	3.44
0.0	2.6	-12.67	3.48
